"X","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM"
21,2015,5,28,20,77,110,28,41,900,173,27.2,999.9,13.5,0,"SW",3.1
22,2015,7,17,19,44,53,4,36,1000,104,25.1,1001.5,20.4,0,"NE",0.8
23,2015,5,8,2,18,49,2,57,400,38,14.4,1006.2,2.3,0,"NE",0.8
24,2016,10,2,7,169,169,4,57,1200,27,16.1,1010.8,11.7,0,"NE",0.7
25,2013,11,25,7,4,7,9,16.0134,300,37,3.4,1015.3,-13,0,"NW",4.6
26,2015,2,8,13,8,8,12,14,400,83,0,1029,-27.1,0,"SW",1.5
27,2014,3,1,14,3,5,8,12,400,80,11.6,1016.7,-20.3,0,"NW",1.7
28,2016,5,9,1,28,38,9,25,400,83,18,1007.1,8.5,0,"S",1.9
29,2015,3,8,11,244,244,60,77,2000,40,8.4,1017.8,-5.8,0,"NE",3.1
30,2017,1,11,15,7,5,12,63,1100,21,6.4,1019,-11.8,0,"SW",1.5
31,2015,9,27,4,79,122,2,106,1100,2,15.5,1009.5,12.8,0,"NE",1
32,2014,9,12,18,63,68,8,66,500,67,22.1,1010.4,15.4,0,"SW",0.9
33,2017,1,15,0,30,60,17,62,600,25,-3.5,1033,-8.3,0,"SW",1.4
34,2015,3,17,8,306,306,9,79,2200,7,7,1016.8,4.1,0,"SE",1.3
35,2016,5,29,2,67,89,10,37,800,91,20.4,1001.2,13.8,0,"SW",0.9
36,2013,3,3,23,103,138,36,128,2799,5,7.1,1016.7,-12.2,0,"N",0.4
37,2016,7,22,13,91,91,2,35,1100,175,29.5,996.6,23.7,0,"S",1.3
38,2014,12,22,1,65,120,40,80,1500,2,-4,1018,-16.3,0,"W",1.4
39,2014,12,14,1,156,220,60,113,3500,2,-4,1023,-15,0,"E",0.5
40,2016,11,23,14,29,42,11,32,500,43,3.3,1028.5,-17,0,"W",2.1
41,2015,10,14,15,83,86,16,62,900,96,20.9,1011.9,6.8,0,"E",1.1
42,2014,10,30,14,187,205,34,118,1500,19,15.6,1017.3,5.5,0,"SE",0.9
43,2015,11,20,19,99,99,20,48,2700,3,1,1024.5,-0.2,0,"E",1.9
44,2015,3,24,22,138,157,36,107,1800,51,10.7,1026.2,-3.8,0,"SE",2.1
45,2015,7,21,9,132,132,2,49,1300,19,24.3,1002.4,22.6,0,"SE",0.9
46,2015,8,10,13,22,47,2,18,500,213,33,1005.1,20.2,0,"NE",1.7
47,2016,1,28,18,58,58,27,65,1100,45,-0.7,1025.8,-17.4,0,"SE",0
48,2014,9,6,6,119,119,4,76,1400,2,20.7,1008.5,20.4,0,"E",0.6
49,2013,5,5,2,124,244,26,139,1300,2,14.6,1012.6,7.9,0,"NE",1.3
50,2014,10,15,8,97,158,6,82,1200,2,19,1009.9,-0.4,0,"NW",4.2
51,2014,12,1,12,4,15,8,14,400,65,-4,1026,-23.7,0,"NW",6.4
52,2015,6,19,19,21,28,6,29,900,89,22.4,1007.4,14.3,0,"E",0.9
53,2014,2,27,23,43,40,26,93,1200,2,0,1024.2,-12,0,"W",1.6
54,2016,7,25,6,53,53,2,49,1100,20,25.2,998.7,24.5,1.5,"E",1.5
55,2015,5,26,8,99,159,31,68,1100,67,25.2,1003.3,14.9,0,"W",1.7
56,2013,12,22,23,312,371,121,164,4800,10,-6,1027.4,-11.5,0,"E",0.8
57,2014,7,22,8,9,84,2,51,500,7,28.4,1003.1,15.3,0,"NW",1.8
58,2015,6,23,23,119,160,12,38,1000,150,28.1,1002.1,17.9,0,"SW",2.3
59,2016,7,20,19,3,5,2,31,600,53,21.9,994.7,21.2,18.3,"NE",4.8
60,2015,7,27,13,69,102,3,32,1000,230,31.7,1000,22.7,0,"SE",2.2
61,2014,8,23,2,122,251,3,128,1600,2,22.6,1002,21.6,0,"SE",1.3
62,2015,5,24,4,120,165,14,94,1500,21,18.7,1003,14.2,0,"E",1.1
63,2016,2,10,2,95,95,35,69,1900,16,-2.7,1016.2,-12,0,"NE",1.2
64,2015,1,27,0,13,35,6,25,300,57,-5,1033,-24,0,"N",2.3
65,2015,11,8,10,52,52,6,41,600,37,2.8,1022.5,-1.6,0,"N",1.6
66,2016,10,23,12,27,27,6,27,500,37,13.9,1019.5,0.5,0,"SE",1.5
67,2013,7,4,15,15,24,6,20,300,197,37.1,987.1,14.4,0,"E",2
68,2015,8,27,1,13,23,2,41,600,41,22.8,1005.3,17.7,0,"NE",1.3
69,2013,4,29,0,11,52,3,55,400,44,15.1,1010.3,-6.5,0,"W",0.9
70,2016,1,9,11,26,31,12,51,900,31,-1.5,1021.8,-15,0,"SE",0.7
71,2016,9,24,21,222,265,6,69,1900,71,22.3,1006,19.5,0,"NE",1.4
72,2016,10,30,21,3,6,2,11,200,53,7.8,1028.2,-11.6,0,"N",4.8
73,2014,5,30,20,85,199,34,44,900,254,27.7,1003.3,14,0,"E",1.5
74,2016,12,4,0,538,633,13,142,6700,10,1,1013.5,-0.2,0,"NE",1.6
75,2016,9,28,6,10,10,2,34,200,15,12,1024,-0.3,0,"NE",1.9
76,2016,12,7,8,70,92,17,79,2700,4,-2.8,1021.6,-7.9,0,"SE",0.5
77,2014,12,13,22,107,137,46,90,1500,3,-1,1024,-17.3,0,"N",0
78,2014,5,3,14,46,186,12,24,100,120,21.8,1004.2,0.9,0,"NW",2.3
79,2016,7,4,20,106,106,10,34,1000,191,28.5,1003.9,19.2,0,"SE",3.1
80,2016,7,10,6,124,124,2,37,900,43,27.1,999.5,23.6,0,"SE",0.7
81,2013,3,12,22,163,137,28,94,2399,14,4.1,1018.7,1.6,0,"NE",0.9
82,2015,7,4,17,37,37,7,38,800,112,23.3,1004.4,12.3,0.2,"SW",1.6
83,2013,9,15,9,14,14,4,47,500,23,22.8,1012.4,3.3,0,"N",1.3
84,2016,11,7,0,106,172,11,76,1100,2,7.8,1021.6,0,0,"S",0.8
85,2016,7,27,19,124,134,2,28,1200,230,32.8,995.8,25.6,0,"S",1.6
86,2015,3,21,10,14,65,11,19,300,71,14.2,1016.4,-19.7,0,"N",3.1
87,2016,1,9,8,25,25,9,70,1100,8,-9.3,1021.6,-16.3,0,"E",0.6
88,2016,12,7,22,149,178,26,101,2100,3,5.9,1016.7,-2.5,0,"SW",2.7
89,2015,10,15,15,105,113,18,79,1100,143,25.2,1011.2,7.8,0,"SW",2.1
90,2015,1,19,8,42,65,26,86,1700,4,-7,1024,-15.7,0,"E",1
91,2013,8,23,18,15,41,6,24,600,131,29.1,1003.6,15.2,0,"S",0.6
92,2014,6,29,18,35,52,11,19,1100,227,32.4,1000.1,15,0,"SW",1.7
93,2016,5,19,6,97,105,19,56,700,99,18.9,1010,10.7,0,"SE",1.3
94,2014,9,10,5,64,141,8,109,1600,2,16.8,1009.6,15,0,"NE",0.9
95,2014,3,23,6,142,184,39,111,2100,3,5.1,1022.3,-3.5,0,"E",1.4
96,2015,1,30,11,13,27,20,21,500,68,-1,1034,-21.2,0,"NW",4.4
97,2015,8,24,2,14,14,2,24,500,43,21.8,1007.3,17.8,0,"N",1.6
98,2015,7,17,9,17,24,2,42,800,28,21.3,1004.2,19,0.3,"NE",1.8
99,2014,5,8,21,62,112,22,59,1000,106,18.3,1009.7,4.5,0,"SE",2.1
100,2016,10,28,22,15,29,2,45,400,17,6.5,1029.2,-0.9,0,"NW",0.8
101,2014,10,22,16,87,142,12,68,800,13,13.3,1015.5,7.5,0,"E",1.3
102,2013,5,29,14,7,17,3,14,200,106,30.4,1003.8,-2.2,0,"W",3.9
103,2015,10,27,2,3,23,4,20,100,45,10,1014,-7.7,0,"W",1.9
104,2015,11,4,10,217,242,18,120,2700,6,10.1,1020.1,5.1,0,"E",1
105,2017,1,10,12,5,6,2,12,300,57,2.2,1026.75,-19.4,0,"NW",5.3
106,2016,7,1,0,29,29,2,22,400,83,27.2,1000,12,0,"E",2.5
107,2015,11,16,17,53,53,18,83,1200,31,8.1,1015.3,-1.2,0,"SW",2.7
108,2013,12,5,0,93,115,49,66.9278,2100,6,4.8,1017.1,-6.4,0,"N",0.7
109,2016,4,8,14,17,64,2,18,200,101,22.8,1007.7,-10.5,0,"SW",5.5
110,2016,9,9,3,32,62,4,75,600,2,19.2,1003.6,14.7,0,"NE",1.2
111,2016,1,21,15,136,136,34,65,2200,23,-3.7,1027.8,-9.9,0,"E",2.2
112,2014,1,12,9,25,45,34,57,1000,16,-0.6,1034.9,-21.4,0,"N",2.7
113,2014,2,24,15,325,387,138,151,4500,9,7,1021,-2.5,0,"E",2.1
114,2016,3,25,10,16,35,4,31,300,60,10.4,1026.5,-11,0,"N",2.1
115,2015,1,21,17,15,15,11,26,400,77,3,1024,-17.8,0,"NW",3.2
116,2013,11,4,12,29,46,17,53,700,29.3454,17,1023.5,-3.2,0,"SW",2.4
117,2014,2,14,9,195,197,62,88,3900,4,-2.5,1024,-6.5,0,"NE",1.2
118,2017,2,5,18,11,13,4,16,300,80,7.7,1018.4,-18.2,0,"N",2
119,2016,3,22,15,83,206,30,70,1300,50,14.6,1017.7,-1.9,0,"SW",2.8
120,2015,7,20,11,79,79,2,44,1200,35,25.2,1004.5,22.1,0,"NE",1.7
121,2013,11,30,23,23,33,28,54.6098,600,6,0.2,1022,-12.5,0,"NW",0.4
122,2015,9,9,17,8,15,2,19,400,67,22.5,1015.8,14.9,0,"NE",2.6
123,2015,11,1,13,38,41,12,63,800,32,16.8,1018.3,-3.4,0,"W",2.6
124,2015,4,6,11,15,22,2,10,200,77,7.3,1028.8,-12.5,0,"NW",2.4
125,2016,8,18,17,54,54,2,47,1600,88,22.8,996.8,21.8,0.4,"N",1.6
126,2016,8,30,13,33,46,6,25,700,203,31,1001.1,13.3,0,"S",1.7
127,2017,1,22,22,56,65,32,80,1600,6,-5.325,1031.75,-18.2,0,"NE",1.4
128,2016,8,4,1,95,95,2,41,1500,99,29.5,1005.8,23.9,0,"S",1.2
129,2014,9,3,6,12,12,2,47,500,14,18.6,1007.6,15.3,0,"NE",0.7
130,2013,8,31,1,31,62,6,100,800,1,16.6,1007.7,14.1,0,"E",0.5
131,2015,10,14,17,108,127,21,95,1500,66,20.5,1011.9,9.1,0,"SE",0.8
132,2015,11,15,4,261,261,21,74,3400,3,6,1014.1,5.4,0,"E",0.8
133,2013,6,5,22,168,177,8,45,2100,9,18.9,1008.7,17.6,0,"E",2
134,2014,5,29,23,53,162,10,146,1300,56,25.4,998,13.3,0,"NE",0.6
135,2013,6,26,22,143,135,14,51,1399,138,26.3,993.3,23.6,0,"NE",1
136,2013,3,15,16,237,271,91,107,1800,59,12,1012.8,-0.2,0,"SW",2.1
137,2013,4,5,12,33,7,23,23,600,59,13.3,1013.5,-4.9,0,"NW",4.5
138,2014,5,4,1,29,72,2,17,200,76,10.9,1013.9,-7.4,0,"NW",5.1
139,2015,9,22,22,45,45,2,36,900,49,18,1006.1,16.2,0,"NE",1.1
140,2016,10,14,1,262,266,10,107,3000,2,13.4,1015.2,12.6,0,"NE",1.1
141,2014,5,18,12,80,123,32,73,800,132,28.2,1003.7,9,0,"S",1.8
142,2015,6,28,12,197,197,16,29,1800,166,28.7,1002.5,22,0,"E",1.9
143,2017,1,27,2,5,5,7,18,500,72,-1.85,1030,-15.5,0,"NW",0.8
144,2015,4,28,19,36,58,6,33,600,156,23,1007.6,10.1,0,"SE",0.6
145,2016,8,20,18,58,85,2,35,1000,283,30.8,1002.4,21.3,0,"S",1.5
146,2014,2,11,4,112,116,44,91,4000,3,-10.3,1024.8,-14.9,0,"N",0.8
147,2014,3,24,20,189,200,66,107,1600,77,13.7,1007.1,3.7,0,"E",1.1
148,2016,8,25,19,6,16,2,31,300,55,26.3,1009.7,6.3,0,"NE",1.7
149,2014,1,23,9,200,232,143,120,4600,4,-2.3,1013.7,-13.5,0,"E",1.3
150,2015,10,25,11,31,49,15,45,800,22,12.2,1024.9,-3.6,0,"S",1.4
151,2014,10,19,1,395,465,10,203,4300,2,13.9,1010.8,11.9,0,"NE",1.1
152,2014,5,3,10,60,114,21,55,500,49,21.7,1005.4,2.4,0,"S",4.4
153,2017,1,14,9,3,29,14,66,700,21,-4.8,1029,-20.9,0,"NE",2.9
154,2014,11,3,21,43,90,8,90,700,17,11,1016,-2.8,0,"W",1.4
155,2014,10,10,1,396,396,2,149,2800,2,13.5,1017.7,13.2,0,"E",0.7
156,2013,4,23,18,225,230,29,85,1500,40,14.1,1007.9,6.4,0,"E",0
157,2016,9,14,18,108,114,13,37,900,188,28.425,1010,17.3,0,"SW",2
158,2015,3,22,13,8,16,2,15,200,91,11.8,1024.9,-21.5,0,"SE",1.7
159,2015,8,10,0,65,105,2,40,1100,95,25.8,1005.8,23.5,0,"E",1.1
160,2013,4,16,7,58,129,36,95,1300,16,12.3,1002,1,0,"NE",1.5
161,2016,6,14,22,20,20,2,27,500,75,18.4,998.8,14.5,0,"N",1.5
162,2014,1,27,4,96,102,59,65,1700,2,-5.8,1013.4,-7.9,0,"NE",0.6
163,2016,10,25,20,140,168,6,76,1500,2,12.5,1011.5,9.5,0,"W",1
164,2015,6,19,13,31,44,7,25,800,92,21.7,1006.4,15.5,0,"E",3.5
165,2016,4,25,1,52,99,14,25,400,95,20.1,1004.6,9.9,0,"SW",2
166,2014,11,4,21,177,217,23,127,2400,2,5,1008,2.5,0,"E",0.1
167,2013,9,15,15,26,34,15,31,700,95,25.1,1008.5,8.1,0,"SE",2.9
168,2013,9,22,2,31,48,5,71,500,37,19.8,1011.7,16.2,0,"E",1
169,2015,1,15,15,460,502,64,176,5500,5,0,1019,-7.1,0,"E",2
170,2016,10,25,23,138,164,8,71,1800,2,10.9,1013.6,9.5,0,"NE",0.9
171,2016,3,20,23,92,131,28,87,1500,71,12.2,1021.1,-4.5,0,"SW",1.1
172,2015,5,22,0,35,74,17,32,800,105,20.6,1006.2,6.5,0,"SW",4.3
173,2015,6,3,13,29,29,2,20,400,119,30.9,1007.9,-1.8,0,"E",2.1
174,2015,1,27,19,30,54,15,69,800,15,-6,1029,-22,0,"NW",0.5
175,2013,8,4,15,100,124,7,24,1100,263,34,992.9,23.4,0,"S",2.3
176,2016,8,21,5,64,92,4,101,1400,2,23.5,1004.7,21.6,0,"NE",0.8
177,2016,9,13,19,65,65,4,36,1200,148,25.7,1012.2,17.4,0,"S",1.2
178,2015,2,16,8,246,246,57,98,5700,17,-2,1014,-6.6,0,"NE",0.8
179,2015,4,25,18,50,140,19,32,600,177,29.9,1005.9,3,0,"SW",5.3
180,2013,5,29,19,19,96,3,52,400,105,26.3,1003.5,3.5,0,"SW",3
181,2015,9,15,1,83,123,15,70,1000,56,16.1,1016.4,13.6,0,"E",1
182,2017,2,26,18,30,45,5,30,500,76,11.8,1018.7,-8.7,0,"SW",3.2
183,2015,10,17,23,350,350,12,178,3200,5,12.8,1015.9,11.7,0,"N",0.7
184,2015,6,3,1,38,134,10,30,500,85,20.9,1010,11.5,0,"SE",1.8
185,2016,2,23,7,8,10,8,27,300,57,-2,1033.8,-18.6,0,"NW",2.6
186,2016,2,26,13,38,62,14,27,700,76,6.4,1018.9,-16.3,0,"SW",3.9
187,2013,6,13,1,85,72,22,22,700,118,19.3,1004.3,15,0,"E",1
188,2013,9,15,19,15,34,12,52,600,64,21.9,1009.3,9.8,0,"S",1.2
189,2016,5,22,12,52,107,9,34,500,164,27.7,1013.6,8,0,"S",1.2
190,2014,7,18,12,147,183,25,36,2200,162,31.6,1002.8,23.4,0,"E",0.5
191,2017,2,5,14,3,6,4,11,200,88,8,1016.5,-18.8,0,"NW",4.7
192,2013,10,9,5,83,106,9,39,1300,1,11.8,1008.7,11.2,0,"NE",1
193,2016,1,16,3,112,112,59,80,3300,8,-2.9,1017.3,-9.2,0,"SE",1.2
194,2014,9,13,8,88,180,5,80,1500,2,22.5,1011.5,15.1,0,"S",1.5
195,2016,5,30,19,110,175,25,42,1100,278,32.6,996,16.8,0,"S",1.7
196,2016,8,26,12,6,14,2,8,200,83,28.3,1012.8,8.6,0,"E",1.4
197,2014,11,13,2,8,11,3,39,400,38,-1,1024,-10.9,0,"N",0.6
198,2016,11,2,12,118,156,15,102,1700,11,9.5,1021.8,-2.8,0,"SW",1.9
199,2014,10,20,20,256,256,3,84,1800,33,15.9,1018.2,12.1,0,"S",1.9
200,2015,1,18,20,13,229,2,17,300,76,2,1015,-16.5,0,"NW",5.9
201,2015,4,28,14,44,51,8,28,600,124,23.4,1008,10.4,0,"W",1.3
202,2014,5,28,18,30,108,6,39,300,175,33.5,992.3,7.5,0,"SW",6.6
203,2016,5,8,21,35,59,9,23,400,125,21.3,1006.4,8.5,0,"SW",3.2
204,2014,7,5,12,113,113,9,26,1000,183,30.3,1003,20.5,0,"S",2.9
205,2015,12,22,20,391,391,31,164,6700,9,-1.1,1022.7,-1.1,0,"E",1.1
206,2016,6,24,22,6,23,2,25,300,82,27.7,1002.8,4,0,"NW",2.2
207,2016,2,19,22,5,8,2,17,200,66,0.1,1029.9,-20.3,0,"NE",2.2
208,2013,8,14,14,73,82,6,4,900,184,33,998.7,25,0,"SW",2.8
209,2013,12,4,3,154,168,37,97.9281,3300,7,-0.2,1016.5,-7,0,"NE",1.2
210,2015,6,5,11,59,59,5,42,7000,90,25.6,994.7,12.1,0,"E",2.4
211,2014,9,24,8,12,36,2,29,600,4,19,1013.7,15.5,0,"NE",2.1
212,2015,3,2,8,141,150,42,85,3800,11,0,1008.6,-8.5,0,"E",1.3
213,2015,8,30,9,38,56,4,26,1300,54,21.8,1008.3,18.4,0,"E",1.7
214,2014,3,17,17,24,324,6,17,200,79,18.2,1008.5,-5.8,0,"NW",6.5
215,2016,10,12,4,53,70,5,56,800,4,12.5,1021.4,8,0,"E",1.4
216,2014,12,21,18,17,50,11,61,500,16,0,1021,-18.7,0,"W",2.6
217,2014,11,28,14,73,154,22,70,1100,47,9,1014,-5.3,0,"SW",1.1
218,2014,10,12,1,6,6,4,28,300,59,14.7,1024.1,5.5,0,"N",1.8
219,2015,9,2,5,6,6,2,12,300,35,20.5,1009.5,16.5,0,"N",1.1
220,2014,7,12,20,11,37,2,31,400,151,29.6,997.7,9.7,0,"SW",1.4
221,2016,9,26,21,86,86,2,60,1600,13,18.7,1009.5,18,0,"S",0
222,2015,9,28,17,45,45,7,58,1500,43,17.8,1020.6,14.7,0,"E",0.8
223,2016,5,20,15,96,96,30,26,1000,275,28.6,1011,7.8,0,"SE",2.8
224,2017,2,3,2,235,263,61,121,4300,9,-3.4,1021.7,-14.8,0,"NE",1.4
225,2017,2,24,23,10,27,12,62,600,22,4.5,1021.5,-12,0,"W",0.5
226,2015,11,10,5,138,138,4,64,1400,5,5.1,1024.9,2.6,0,"E",0.6
227,2013,7,21,1,111,46,9,17,1300,108,25.8,1000.7,19.9,0,"S",0.6
228,2016,11,7,20,6,21,2,45,500,18,8.3,1029.4,-7.5,0,"N",2.2
229,2014,2,12,8,103,92,56,78,1900,4,-4.1,1029.5,-15.4,0,"NE",2.4
230,2016,10,21,7,47,47,2,30,700,26,11.5,1016.6,7.4,0,"W",0.8
231,2016,12,12,13,224,224,39,80,2300,18,5.2,1019.2,-4.1,0,"NE",1.8
232,2015,7,31,4,12,13,2,25,600,68,21.6,1003.6,20.8,5.2,"NW",1.5
233,2015,2,23,11,33,63,27,31,700,40,1.9,1018.8,-17.1,0,"W",1.5
234,2015,9,27,22,57,95,2,130,1300,9,20.7,1012.2,15,0,"N",0.8
235,2014,7,18,17,83,83,7,20,900,209,33.7,1001.3,22.5,0,"SW",2.2
236,2016,9,18,2,16,16,2,39,600,15,17.9,1016,16.6,0.3,"N",1.5
237,2016,2,15,22,11,89,2,17,300,68,1.4,1019.7,-16.5,0,"NW",4.4
238,2014,9,8,0,130,130,6,87,1400,63,24.9,1005.6,4.1,0,"NW",3
239,2017,1,19,1,79,107,32,83,2100,3,-1.925,1025.5,-10.6,0,"SE",1.5
240,2015,9,10,4,3,6,2,37,300,26,19,1018.2,12.3,0,"NE",0.5
241,2015,3,6,15,210,216,67,72,1700,79,8.8,1011.9,-10.7,0,"S",2.7
242,2013,3,3,5,90,109,77,102,3100,5,-5.2,1018.5,-11.6,0,"NE",0.9
243,2016,7,6,20,53,68,3,31,900,217,31.1,1005.9,15.5,0,"S",1.3
244,2016,4,30,3,243,243,5,164,2300,3,14.5,998.8,12.2,0,"NW",0.4
245,2017,2,11,3,12,15,5,42,500,29,0.5,1025.6,-20.5,0,"N",1.9
246,2016,1,28,21,129,138,58,125,3100,12,-4.5,1027.7,-15.2,0,"E",0.9
247,2015,1,7,14,66,89,51,58,1700,46,3,1026,-19.7,0,"S",0.6
248,2015,3,9,3,12,27,2,10,200,71,-0.1,1029.2,-26.2,0,"N",5.1
249,2015,12,9,2,268,268,24,93,4500,2,1,1023.3,1,0.1,"NE",1.1
250,2014,4,25,9,139,178,33,118,1800,4,20.7,1013.8,10.5,0,"NW",1.6
251,2016,4,12,7,56,68,6,68,900,7,6.9,1004.5,3.9,0,"NE",1.5
252,2014,7,29,22,80,229,3,30,800,158,23.6,999.7,22.4,12.5,"SW",0.9
253,2017,1,10,22,84,119,28,90,1400,4,-1.425,1026,-11.8,0,"SW",1.6
254,2013,12,24,4,423,505,125,157,8000,23,-6.5,1031.4,-12,0,"NE",1.2
255,2016,1,21,7,83,83,27,64,2400,6,-6.9,1029.3,-9,0,"E",0.9
256,2014,6,18,11,31,31,3,20,500,101,28.3,998.9,15.2,0,"E",2.5
257,2015,12,7,17,187,187,40,114,3500,2,1.6,1027.8,-1.8,0,"E",1.2
258,2013,9,29,2,271,236,12,136,1600,1,16.5,1010.3,13.8,0,"N",2.7
259,2013,3,21,14,158,166,51,78,1300,50,8.4,1002,-2.3,0,"N",2.2
260,2014,7,5,15,73,73,3,17,800,213,30.5,1001.2,21,0,"S",2.5
261,2016,10,17,17,50,71,4,40,500,91,20.1,1014.9,4.9,0,"SE",2.3
262,2015,11,1,20,105,125,14,111,1100,9,13.3,1017,0.3,0,"W",2.6
263,2014,3,11,10,242,320,152,124,4300,4,7.6,1013,-1.6,0,"NW",1.3
264,2013,10,7,3,164,144,8,37,2600,14,13.7,1017,13.5,0,"NE",0.9
265,2013,6,20,4,101,215,24,114,1899,3,25.2,1001.3,18.4,0,"NE",0.5
266,2015,12,13,12,144,166,52,99,3400,7,2.6,1023.8,-4.2,0,"E",1.4
267,2013,7,31,14,65,99,13,18,1000,233,32.5,993.9,22.6,0,"SE",2.7
268,2016,1,28,8,131,131,47,97,2600,10,-6.1,1026.1,-17,0,"NE",1.5
269,2013,10,19,4,261,166,38,82,1900,1,13.6,1020.4,5,0,"NW",3.3
270,2016,10,30,7,74,139,3,49,1400,2,1.4,1019.5,-0.2,0,"E",1.1
271,2013,9,25,23,23,59,7,93,700,3,12,1014.3,5.8,0,"NE",1
272,2014,8,26,0,28,86,7,82,700,46,20.6,1008.7,14.9,0,"W",0.2
273,2017,2,7,20,104,125,18,72,1700,6,-0.5,1026,-6.9,0,"NE",1.3
274,2014,6,27,23,29,60,9,71,600,103,27.4,1002.6,13,0,"W",2.3
275,2016,4,30,17,85,157,13,29,1000,245,29.1,995.2,15.2,0,"SE",2.9
276,2014,4,18,8,120,150,10,58,1300,2,15.4,1016,11.6,0,"E",0.5
277,2013,8,23,6,77,63,6,72,900,2,23.9,1006.1,22.2,0,"NE",1
278,2014,7,29,23,66,91,2,16,800,155,23.4,999.5,22.2,6.7,"S",0
279,2015,9,30,2,24,24,2,56,600,3,13.7,1021.5,12.4,0.5,"NE",1.2
280,2013,8,24,4,70,151,13,96,1300,1,20.7,1005.8,19,0,"NE",0.8
281,2013,4,25,19,3,31,3,30,400,88,18.1,1008.3,-10.8,0,"NE",1.2
282,2013,6,4,17,78,28,18,37,1300,74,20.1,1007.4,16.5,0,"NW",0.8
283,2013,12,5,3,141,190,120,76.7822,4200,5,5.5,1018.6,-8.1,0,"NE",1.8
284,2016,4,10,1,40,160,17,35,800,54,10,1011.9,-10.8,0,"SW",1.3
285,2015,7,6,4,70,70,5,52,700,58,19.2,1007.2,17.2,0,"E",1.2
286,2015,7,25,1,68,102,2,83,1800,27,24.5,997.5,20.4,0,"SE",2.4
287,2013,12,2,1,161,199,58,99.9811,3600,7,-2.3,1016.1,-8.6,0,"S",0
288,2014,1,15,1,110,126,76,90,2000,3,-6.5,1029.4,-13.6,0,"NE",1.3
289,2014,8,1,15,104,104,4,13,1100,217,32,1000.8,22.4,0,"SW",1.8
290,2016,5,23,5,70,122,20,87,1300,17,20.5,1007.5,9.4,0,"SE",1.7
291,2013,6,17,5,22,22,5,19,600,68,21.3,999.4,17.3,0,"NE",1.2
292,2014,4,4,7,37,125,16,63,600,21,8.7,1010.1,-2.9,0,"N",1
293,2015,7,11,22,43,78,6,60,800,117,27.6,1000.7,18.9,0,"SE",0.9
294,2015,10,5,2,180,183,4,126,1800,2,13.7,1016.8,12.9,0,"E",0.9
295,2014,7,6,12,200,201,23,45,1700,150,30.2,1000.3,22.6,0,"S",1.6
296,2013,8,8,0,17,2,10,46,600,22,25.2,996.6,19.8,0,"NW",0.9
297,2014,2,28,9,54,58,31,62,1500,4,0.7,1024.9,-4,0,"E",2.4
298,2015,1,31,9,13,27,22,52,700,29,-5,1036,-23.5,0,"N",1.7
299,2014,8,8,4,48,76,11,50,800,65,21,1005.4,17.6,0,"E",1
300,2013,4,17,9,53,78,17,74,800,48,11.5,1007.3,-3.5,0,"SE",3.5
301,2013,9,5,1,18,18,1,34,500,75,17.8,1011.1,17.2,2.8,"NW",2
302,2016,10,23,23,49,68,5,63,900,11,11.125,1017.5,2.7,0,"SW",1.5
303,2016,1,21,23,161,161,33,74,3500,10,-6.8,1033.3,-9.4,0,"E",0.9
304,2016,8,25,15,3,6,2,14,300,79,29.4,1008.4,9.5,0,"NE",3.9
