"name","mfr","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","shelf"
"Lucky_Charms","G","C",110,2,1,180,0,12,12,55,"mid"
"Maypo","A","H",100,4,1,0,0,16,3,95,"mid"
"Muesli_Raisins,_Dates,_&_Almonds","R","C",150,4,3,95,3,16,11,170,"high"
"Muesli_Raisins,_Peaches,_&_Pecans","R","C",150,4,3,150,3,16,11,170,"high"
"Mueslix_Crispy_Blend","K","C",238.8,4.5,3,223.9,4.5,25.4,19.4,238.8,"high"
"Multi-Grain_Cheerios","G","C",100,2,1,220,2,15,6,90,"low"
"Nut&Honey_Crunch","K","C",179.1,3,1.5,283.6,0,22.4,13.4,59.7,"mid"
"Nutri-Grain_Almond-Raisin","K","C",209,4.5,3,328.4,4.5,31.3,10.4,194,"high"
"Nutri-grain_Wheat","K","C",90,3,0,170,3,18,2,90,"high"
"Oatmeal_Raisin_Crisp","G","C",260,6,4,340,3,27,20,240,"high"
"Post_Nat._Raisin_Bran","P","C",179.1,4.5,1.5,298.5,9,16.4,20.9,388.1,"high"
"Product_19","K","C",100,3,0,320,1,20,3,45,"high"
"Puffed_Rice","Q","C",50,1,0,0,0,13,0,15,"high"
"Puffed_Wheat","Q","C",50,2,0,0,1,10,0,50,"high"
"Quaker_Oat_Squares","Q","C",200,8,2,270,4,28,12,220,"high"
"Quaker_Oatmeal","Q","H",149.3,7.5,3,0,4,0,0,164.2,"low"
"Raisin_Bran","K","C",160,4,1.3,280,6.7,18.7,16,320,"mid"
"Raisin_Nut_Bran","G","C",200,6,4,280,5,21,16,280,"high"
"Raisin_Squares","K","C",180,4,0,0,4,30,12,220,"high"
"Rice_Chex","R","C",97.3,0.9,0,212.4,0,20.4,1.8,26.5,"low"
"Rice_Krispies","K","C",110,2,0,290,0,22,3,35,"low"
"Shredded_Wheat","N","C",80,2,0,0,3,16,0,95,"low"
"Shredded_Wheat_'n'Bran","N","C",134.3,4.5,0,0,6,28.4,0,209,"low"
"Shredded_Wheat_spoon_size","N","C",134.3,4.5,0,0,4.5,29.9,0,179.1,"low"
"Smacks","K","C",146.7,2.7,1.3,93.3,1.3,12,20,53.3,"mid"
"Special_K","K","C",110,6,0,230,1,16,3,55,"low"
"Strawberry_Fruit_Wheats","N","C",90,2,0,15,3,15,5,90,"mid"
"Total_Corn_Flakes","G","C",110,2,1,200,0,21,3,35,"high"
"Total_Raisin_Bran","G","C",140,3,1,190,4,15,14,230,"high"
"Total_Whole_Grain","G","C",100,3,1,200,3,16,3,110,"high"
"Triples","G","C",146.7,2.7,1.3,333.3,0,28,4,80,"high"
"Trix","G","C",110,1,1,140,0,13,12,25,"mid"
"Wheat_Chex","R","C",149.3,4.5,1.5,343.3,4.5,25.4,4.5,171.6,"low"
"Wheaties","G","C",100,3,1,200,3,17,3,110,"low"
"Wheaties_Honey_Gold","G","C",146.7,2.7,1.3,266.7,1.3,21.3,10.7,80,"low"
